iteration,k=1,k=2,k=3,k=4,k=e
0,19,22,16,20,19
1,29,37,31,35,34
2,39,49,45,45,46
3,54,66,62,66,65
4,66,72,65,72,79
5,76,84,79,84,88
6,88,95,95,96,98
7,97,103,112,107,111
8,113,117,125,122,127
9,121,127,131,131,133
10,131,136,140,145,140
11,143,146,150,157,150
12,148,154,160,162,159
13,157,164,170,174,165
14,170,178,178,186,173
15,178,186,190,189,186
16,189,196,202,198,197
17,201,213,217,211,215
18,211,220,224,223,224
19,216,226,230,233,237
20,225,236,236,240,247
21,234,243,241,247,258
22,242,249,247,255,263
23,250,260,258,267,270
24,255,264,262,276,274
25,266,273,275,282,289
26,271,287,280,291,304
27,283,295,285,301,312
28,295,305,295,311,322
29,308,318,304,325,333
30,316,327,318,333,348
31,325,336,326,340,356
32,329,342,331,347,358
33,330,345,337,350,361
34,344,357,353,364,367
35,354,360,362,373,380
36,361,373,370,383,392
37,365,379,376,387,400
38,376,382,384,394,408
39,386,393,392,412,418
40,395,399,400,420,427
41,406,408,413,435,434
42,417,417,427,445,446
43,422,423,433,451,452
44,433,429,436,459,462
45,437,434,439,461,466
46,441,445,448,470,476
47,447,448,458,481,487
48,459,448,468,492,494
49,463,457,470,494,499
50,474,458,481,501,501
51,481,464,486,508,509
52,488,471,491,517,516
53,497,479,500,525,523
54,499,482,501,527,525
55,503,485,513,531,532
56,508,489,519,544,539
57,522,499,534,561,557
58,525,503,539,567,564
59,532,511,549,573,574
60,537,520,557,581,591
61,537,523,563,585,605
62,544,526,568,592,610
63,552,528,575,604,618
64,561,534,582,608,625
65,565,543,592,612,635
66,570,550,598,617,642
67,577,560,606,623,649
68,585,567,612,631,662
69,592,574,619,639,671
70,599,581,619,646,675
71,608,589,627,654,683
72,610,593,627,662,685
73,618,605,636,668,690
74,626,605,643,675,707
75,632,608,647,682,715
76,641,609,657,689,725
77,652,621,668,700,731
78,652,623,671,700,741
79,658,632,676,706,745
80,663,636,681,711,753
81,669,642,687,719,772
82,675,647,693,726,787
83,680,650,699,732,799
84,687,656,700,745,812
85,690,660,708,749,828
86,693,662,717,754,840
87,698,669,724,761,844
88,701,671,733,767,851
89,704,678,736,772,855
90,714,680,742,782,866
91,715,687,745,783,879
92,717,696,753,790,890
93,725,707,759,796,892
94,725,715,759,797,900
95,731,725,768,804,914
96,738,737,776,808,922
97,749,743,780,818,925
98,756,749,786,824,930
99,759,760,792,830,938
100,766,769,795,838,946
101,772,778,801,844,954
102,777,783,804,848,959
103,786,792,811,855,963
104,793,798,812,865,974
105,806,811,815,873,988
106,811,820,821,882,999
107,816,833,825,882,1003
108,824,841,833,891,1014
109,830,848,841,898,1023
110,833,853,843,899,1028
111,843,860,854,910,1038
112,847,861,859,916,1043
113,851,864,863,922,1050
114,854,866,867,929,1057
115,865,875,878,937,1062
116,872,881,887,947,1067
117,873,889,892,948,1067
118,875,896,899,957,1078
119,882,898,899,964,1085
120,892,903,906,971,1091
121,902,909,912,980,1101
122,909,915,918,985,1113
123,917,926,927,988,1123
124,924,931,934,996,1126
125,932,936,940,1002,1134
126,941,947,952,1013,1138
127,947,953,960,1018,1154
128,956,961,966,1029,1162
129,958,972,972,1031,1171
130,962,981,980,1038,1175
131,964,984,991,1042,1178
132,970,992,994,1047,1183
133,973,997,998,1050,1192
134,981,1002,1004,1059,1201
135,988,1009,1010,1065,1207
136,996,1018,1018,1073,1216
137,1003,1027,1025,1083,1226
138,1005,1034,1029,1088,1233
139,1006,1041,1031,1089,1233
140,1015,1054,1038,1093,1245
141,1015,1061,1039,1093,1253
142,1021,1067,1043,1096,1260
143,1028,1072,1045,1099,1266
144,1033,1076,1047,1105,1270
145,1036,1079,1050,1108,1273
146,1041,1083,1059,1120,1279
147,1048,1088,1066,1125,1284
148,1052,1092,1070,1129,1290
149,1056,1098,1077,1134,1297
150,1060,1101,1080,1139,1309
151,1066,1108,1085,1142,1315
152,1075,1115,1091,1149,1317
153,1077,1117,1092,1151,1319
154,1082,1122,1096,1159,1330
155,1085,1130,1100,1163,1337
156,1087,1139,1103,1169,1343
157,1096,1144,1107,1175,1353
158,1099,1148,1108,1179,1359
159,1101,1149,1110,1180,1362
160,1104,1150,1113,1182,1366
161,1108,1159,1127,1187,1371
162,1114,1169,1133,1193,1375
163,1116,1172,1138,1199,1381
164,1122,1181,1146,1208,1391
165,1126,1191,1154,1220,1394
166,1128,1194,1160,1227,1398
167,1130,1197,1161,1232,1401
168,1134,1201,1166,1234,1403
169,1140,1208,1173,1237,1410
170,1147,1211,1180,1240,1415
171,1153,1219,1184,1240,1423
172,1157,1222,1188,1244,1426
173,1169,1227,1193,1250,1432
174,1176,1234,1198,1255,1444
175,1185,1239,1203,1265,1452
176,1186,1239,1204,1267,1461
177,1191,1247,1212,1275,1471
178,1197,1257,1221,1280,1477
179,1200,1260,1225,1283,1479
180,1202,1269,1228,1284,1482
181,1208,1274,1234,1286,1488
182,1210,1279,1237,1295,1493
183,1214,1286,1242,1301,1499
184,1222,1294,1249,1310,1512
185,1231,1303,1251,1318,1523
186,1234,1312,1259,1322,1531
187,1236,1314,1259,1323,1533
188,1241,1317,1269,1326,1537
189,1243,1317,1274,1327,1543
190,1249,1320,1285,1335,1552
191,1257,1327,1289,1341,1560
192,1263,1329,1291,1344,1563
193,1270,1339,1294,1347,1570
194,1278,1345,1297,1354,1574
195,1282,1350,1303,1358,1579
196,1283,1354,1304,1358,1580
